变量名称*,数据类型*,变量地址名称*,变量地址值*,传输方式*,读写方式*,单位,描述,分组*,精度,显示类型,显示格式,组码顺序,字符串长度,字符串编码,字符串大小端,,,,id
3号空压机运行电流,16位无符号整数,4x,893,变化上传,只读,A,,默认分组,,无(原始数据),,0-12,,,,,,,
3号空压机运行频率,16位无符号整数,4x,894,变化上传,只读,Hz,,默认分组,,无(原始数据),,0-12,,,,,,,
3号空压机累计运行时间,16位无符号整数,4x,895,变化上传,只读,H,,默认分组,,无(原始数据),,0-12,,,,,,,
3号空压机累计加载时间,16位无符号整数,4x,896,变化上传,只读,H,,默认分组,,无(原始数据),,0-12,,,,,,,
3号空压机空滤运行时间,16位无符号整数,4x,897,变化上传,只读,H,,默认分组,,无(原始数据),,0-12,,,,,,,
3号空压机油滤运行时间,16位无符号整数,4x,898,变化上传,只读,H,,默认分组,,无(原始数据),,0-12,,,,,,,
3号空压机油分芯运行时间,16位无符号整数,4x,899,变化上传,只读,H,,默认分组,,无(原始数据),,0-12,,,,,,,
3号空压机润滑脂运行时间,16位无符号整数,4x,900,变化上传,只读,H,,默认分组,,无(原始数据),,0-12,,,,,,,
3号空压机润滑油运行时间,16位无符号整数,4x,901,变化上传,只读,H,,默认分组,,无(原始数据),,0-12,,,,,,,
3号空压机排气过温,BOOL,0x,140,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
3号空压机供气过压力,BOOL,0x,141,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
3号压力传感器断线,BOOL,0x,142,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
3号温度传感器断线,BOOL,0x,143,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
3号外部紧急停机,BOOL,0x,144,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
3号空滤堵塞,BOOL,0x,145,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
3号油滤堵塞,BOOL,0x,146,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
3号油气分离器堵塞,BOOL,0x,147,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
3号油精分堵塞,BOOL,0x,148,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
3号保养提醒时间到,BOOL,0x,149,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
3号主电机过电流,BOOL,0x,150,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
3号主电机电流缺相,BOOL,0x,151,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
3号主变频器通讯故障,BOOL,0x,152,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
3号风机过电流,BOOL,0x,153,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
3号风机缺相]风机缺相,BOOL,0x,154,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
3号主机变频器故障,BOOL,0x,155,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
3号风机变频器故障,BOOL,0x,156,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
3号空压机启动（联控取消有效）,BOOL,0x,320,变化上传,读写,,,默认分组,,无(原始数据),,,,,,,,,
3号空压机停机（联控取消有效）,BOOL,0x,321,变化上传,读写,,,默认分组,,无(原始数据),,,,,,,,,
3号空压机目标压力,16位无符号整数,4x,740,变化上传,读写,MPa,,默认分组,,无(原始数据),,0-12,,,,,,,
3号空压机加载压力,16位无符号整数,4x,741,变化上传,读写,MPa,,默认分组,,无(原始数据),,0-12,,,,,,,
3号空压机卸载压力,16位无符号整数,4x,742,变化上传,读写,MPa,,默认分组,,无(原始数据),,0-12,,,,,,,
3号空压机目标温度,16位无符号整数,4x,743,变化上传,读写,℃,,默认分组,,无(原始数据),,0-12,,,,,,,
3号空压机启扇温度,16位无符号整数,4x,744,变化上传,读写,℃,,默认分组,,无(原始数据),,0-12,,,,,,,
3号空压机停扇温度,16位无符号整数,4x,745,变化上传,读写,℃,,默认分组,,无(原始数据),,0-12,,,,,,,
3号空压机上限频率,16位无符号整数,4x,746,变化上传,读写,Hz,,默认分组,,无(原始数据),,0-12,,,,,,,
3号空压机下限频率,16位无符号整数,4x,747,变化上传,读写,Hz,,默认分组,,无(原始数据),,0-12,,,,,,,
3号空压机机型,BOOL,0x,1102,变化上传,读写,,,默认分组,,无(原始数据),,,,,,,,,
3号机上限负载率%,16位无符号整数,4x,1012,变化上传,读写,%,,默认分组,,无(原始数据),,0-12,,,,,,,
3号机下限负载率%,16位无符号整数,4x,1022,变化上传,读写,%,,默认分组,,无(原始数据),,0-12,,,,,,,
3号机联控开关,BOOL,0x,1003,变化上传,读写,,,默认分组,,无(原始数据),,,,,,,,,
4号空压机运行状态,16位无符号整数,4x,910,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
4号空压机排气温度,16位无符号整数,4x,911,变化上传,只读,℃,,默认分组,,无(原始数据),,0-12,,,,,,,
4号空压机排气压力,16位无符号整数,4x,912,变化上传,只读,Mpa,,默认分组,,无(原始数据),,0-12,,,,,,,
4号空压机运行电流,16位无符号整数,4x,913,变化上传,只读,A,,默认分组,,无(原始数据),,0-12,,,,,,,
4号空压机运行频率,16位无符号整数,4x,914,变化上传,只读,Hz,,默认分组,,无(原始数据),,0-12,,,,,,,
4号空压机累计运行时间,16位无符号整数,4x,915,变化上传,只读,H,,默认分组,,无(原始数据),,0-12,,,,,,,
4号空压机累计加载时间,16位无符号整数,4x,916,变化上传,只读,H,,默认分组,,无(原始数据),,0-12,,,,,,,
4号空压机空滤运行时间,16位无符号整数,4x,917,变化上传,只读,H,,默认分组,,无(原始数据),,0-12,,,,,,,
4号空压机油滤运行时间,16位无符号整数,4x,918,变化上传,只读,H,,默认分组,,无(原始数据),,0-12,,,,,,,
4号空压机油分芯运行时间,16位无符号整数,4x,919,变化上传,只读,H,,默认分组,,无(原始数据),,0-12,,,,,,,
4号空压机润滑脂运行时间,16位无符号整数,4x,920,变化上传,只读,H,,默认分组,,无(原始数据),,0-12,,,,,,,
4号空压机润滑油运行时间,16位无符号整数,4x,921,变化上传,只读,H,,默认分组,,无(原始数据),,0-12,,,,,,,
4号空压机排气过温,BOOL,0x,160,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
4号空压机供气过压力,BOOL,0x,161,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
4号压力传感器断线,BOOL,0x,162,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
4号温度传感器断线,BOOL,0x,163,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
4号外部紧急停机,BOOL,0x,164,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
4号空滤堵塞,BOOL,0x,165,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
4号油滤堵塞,BOOL,0x,166,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
4号油气分离器堵塞,BOOL,0x,167,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
4号油精分堵塞,BOOL,0x,168,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
4号保养提醒时间到,BOOL,0x,169,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
4号主电机过电流,BOOL,0x,170,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
4号主电机电流缺相,BOOL,0x,171,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
4号主变频器通讯故障,BOOL,0x,172,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
4号风机过电流,BOOL,0x,173,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
4号风机缺相]风机缺相,BOOL,0x,174,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
4号主机变频器故障,BOOL,0x,175,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
4号风机变频器故障,BOOL,0x,176,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
4号空压机启动（联控取消有效）,BOOL,0x,340,变化上传,读写,,,默认分组,,无(原始数据),,,,,,,,,
4号空压机停机（联控取消有效）,BOOL,0x,341,变化上传,读写,,,默认分组,,无(原始数据),,,,,,,,,
4号空压机目标压力,16位无符号整数,4x,750,变化上传,读写,MPa,,默认分组,,无(原始数据),,0-12,,,,,,,
4号空压机加载压力,16位无符号整数,4x,751,变化上传,读写,MPa,,默认分组,,无(原始数据),,0-12,,,,,,,
4号空压机卸载压力,16位无符号整数,4x,752,变化上传,读写,MPa,,默认分组,,无(原始数据),,0-12,,,,,,,
4号空压机目标温度,16位无符号整数,4x,753,变化上传,读写,℃,,默认分组,,无(原始数据),,0-12,,,,,,,
4号空压机启扇温度,16位无符号整数,4x,754,变化上传,读写,℃,,默认分组,,无(原始数据),,0-12,,,,,,,
4号空压机停扇温度,16位无符号整数,4x,755,变化上传,读写,℃,,默认分组,,无(原始数据),,0-12,,,,,,,
4号空压机上限频率,16位无符号整数,4x,756,变化上传,读写,Hz,,默认分组,,无(原始数据),,0-12,,,,,,,
4号空压机下限频率,16位无符号整数,4x,757,变化上传,读写,Hz,,默认分组,,无(原始数据),,0-12,,,,,,,
4号空压机机型,BOOL,0x,1103,变化上传,读写,,,默认分组,,无(原始数据),,,,,,,,,
4号机上限负载率%,16位无符号整数,4x,1013,变化上传,读写,%,,默认分组,,无(原始数据),,0-12,,,,,,,
4号机下限负载率%,16位无符号整数,4x,1023,变化上传,读写,%,,默认分组,,无(原始数据),,0-12,,,,,,,
4号机联控开关,BOOL,0x,1004,变化上传,读写,,,默认分组,,无(原始数据),,,,,,,,,
5号空压机运行状态,16位无符号整数,4x,930,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
5号空压机排气温度,16位无符号整数,4x,931,变化上传,只读,℃,,默认分组,,无(原始数据),,0-12,,,,,,,
5号空压机排气压力,16位无符号整数,4x,932,变化上传,只读,Mpa,,默认分组,,无(原始数据),,0-12,,,,,,,
5号空压机运行电流,16位无符号整数,4x,933,变化上传,只读,A,,默认分组,,无(原始数据),,0-12,,,,,,,
5号空压机运行频率,16位无符号整数,4x,934,变化上传,只读,Hz,,默认分组,,无(原始数据),,0-12,,,,,,,
5号空压机累计运行时间,16位无符号整数,4x,935,变化上传,只读,H,,默认分组,,无(原始数据),,0-12,,,,,,,
5号空压机累计加载时间,16位无符号整数,4x,936,变化上传,只读,H,,默认分组,,无(原始数据),,0-12,,,,,,,
5号空压机空滤运行时间,16位无符号整数,4x,937,变化上传,只读,H,,默认分组,,无(原始数据),,0-12,,,,,,,
5号空压机油滤运行时间,16位无符号整数,4x,938,变化上传,只读,H,,默认分组,,无(原始数据),,0-12,,,,,,,
5号空压机油分芯运行时间,16位无符号整数,4x,939,变化上传,只读,H,,默认分组,,无(原始数据),,0-12,,,,,,,
5号空压机润滑脂运行时间,16位无符号整数,4x,940,变化上传,只读,H,,默认分组,,无(原始数据),,0-12,,,,,,,
5号空压机润滑油运行时间,16位无符号整数,4x,941,变化上传,只读,H,,默认分组,,无(原始数据),,0-12,,,,,,,
5号空压机排气过温,BOOL,0x,180,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
5号空压机供气过压力,BOOL,0x,181,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
5号压力传感器断线,BOOL,0x,182,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
5号温度传感器断线,BOOL,0x,183,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
5号外部紧急停机,BOOL,0x,184,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
5号空滤堵塞,BOOL,0x,185,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
5号油滤堵塞,BOOL,0x,186,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
5号油气分离器堵塞,BOOL,0x,187,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
5号油精分堵塞,BOOL,0x,188,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
5号保养提醒时间到,BOOL,0x,189,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
5号主电机过电流,BOOL,0x,190,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
5号主电机电流缺相,BOOL,0x,191,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
5号主变频器通讯故障,BOOL,0x,192,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
5号风机过电流,BOOL,0x,193,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
5号风机缺相]风机缺相,BOOL,0x,194,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
5号主机变频器故障,BOOL,0x,195,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
5号风机变频器故障,BOOL,0x,196,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
5号空压机启动（联控取消有效）,BOOL,0x,350,变化上传,读写,,,默认分组,,无(原始数据),,,,,,,,,
5号空压机停机（联控取消有效）,BOOL,0x,351,变化上传,读写,,,默认分组,,无(原始数据),,,,,,,,,
5号空压机目标压力,16位无符号整数,4x,760,变化上传,读写,MPa,,默认分组,,无(原始数据),,0-12,,,,,,,
5号空压机加载压力,16位无符号整数,4x,761,变化上传,读写,MPa,,默认分组,,无(原始数据),,0-12,,,,,,,
5号空压机卸载压力,16位无符号整数,4x,762,变化上传,读写,MPa,,默认分组,,无(原始数据),,0-12,,,,,,,
5号空压机目标温度,16位无符号整数,4x,763,变化上传,读写,℃,,默认分组,,无(原始数据),,0-12,,,,,,,
5号空压机启扇温度,16位无符号整数,4x,764,变化上传,读写,℃,,默认分组,,无(原始数据),,0-12,,,,,,,
5号空压机停扇温度,16位无符号整数,4x,765,变化上传,读写,℃,,默认分组,,无(原始数据),,0-12,,,,,,,
5号空压机上限频率,16位无符号整数,4x,766,变化上传,读写,Hz,,默认分组,,无(原始数据),,0-12,,,,,,,
5号空压机下限频率,16位无符号整数,4x,767,变化上传,读写,Hz,,默认分组,,无(原始数据),,0-12,,,,,,,
5号空压机机型,BOOL,0x,1104,变化上传,读写,,,默认分组,,无(原始数据),,,,,,,,,
5号机上限负载率%,16位无符号整数,4x,1014,变化上传,读写,%,,默认分组,,无(原始数据),,0-12,,,,,,,
5号机下限负载率%,16位无符号整数,4x,1024,变化上传,读写,%,,默认分组,,无(原始数据),,0-12,,,,,,,
5号机联控开关,BOOL,0x,1005,变化上传,读写,,,默认分组,,无(原始数据),,,,,,,,,
6号空压机运行状态,16位无符号整数,4x,950,变化上传,只读,,,默认分组,,无(原始数据),,,,,,,,,
6号空压机排气温度,16位无符号整数,4x,951,变化上传,只读,℃,,默认分组,,无(原始数据),,0-12,,,,,,,
6号空压机排气压力,16位无符号整数,4x,952,变化上传,只读,Mpa,,默认分组,,无(原始数据),,0-12,,,,,,,
6号空压机运行电流,16位无符号整数,4x,953,变化上传,只读,A,,默认分组,,无(原始数据),,0-12,,,,,,,
